,country,weapon,date,text
0,Taipei Economic and Cultural Representative Office in the United States (TECRO) , RGM-84L-4 Harpoon Surface Launched Block II Missiles," October 26, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Taipei Economic and Cultural…
1,Taipei Economic and Cultural Representative Office in the United States (TECRO) ," HIMARS, Support, and Equipment"," October 21, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Taipei Economic and…
2,Taipei Economic and Cultural Representative Office in the United States (TECRO) , AGM-84H Standoff Land Attack Missile-Expanded Response (SLAM-ER) Missiles," October 21, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Taipei Economic and…
3,Taipei Economic and Cultural Representative Office in the United States (TECRO) , MS-110 Recce Pod System," October 21, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Taipei Economic and…
4,Romania , Naval Strike Missile (NSM) Coastal Defense Systems," October 16, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of…
5,Finland , F/A-18E/F Super Hornet Aircraft and Weapons," October 9, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of…
6,Finland , F-35 Joint Strike Fighter Aircraft with Air-to-Air Missiles and Air-to-Ground Precision Guided Munitions," October 9, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Finland of F-35 Joint…
7,Egypt , Maritime Domain Awareness System," October 1, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Egypt…
8,Republic of Korea , AIM-9X Block II Tactical Sidewinder Missiles," October 1, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Republic of Korea of…
9,India , C-130J Follow-on Support," September 30, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of…
10,Switzerland , Patriot Configuration-3+ Modernized Fire Units and Weapons," September 30, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of…
11,Switzerland , F-35 Joint Strike Fighter Aircraft and Weapons," September 30, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of…
12,Switzerland , F/A-18E/F Super Hornet Aircraft and Weapons," September 30, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Switzerland of forty (…
13,Japan , RAM Block 2 Tactical Missiles," September 28, 2020 ",The State Department has made a determination approving a possible…
14,The Netherlands , Patriot Advanced Capability-3 (PAC-3) Missile Segment Enhancement (MSE) Missiles," September 24, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of the…
15,United Kingdom , Follow-on Contractor Logistics Support (CLS) for C-17 Aircraft," September 24, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of the…
